month,Platform,Transaction_Type,Crypto,Wallet_Type,Status,Transaction_Count,Total_Value,Avg_Value,Avg_Fee_Pct,Total_Fees,Unique_Users,quarter,Total_Monthly_Unique_Users,Total_Quarterly_Unique_Users
2023-02,Binance,Stake,Avalanche,Ledger,Failed,1,3295374.51,3295374.51,0.021483254721175835,70795.37,1,2023Q1,12,445
2023-02,Coinbase,Stake,Cardano,Cold Wallet,Failed,1,4855427.92,4855427.92,0.048300951813944344,234521.79,1,2023Q1,12,445
2023-02,FTX,Stake,Bitcoin,Trezor,Pending,1,620438.94,620438.94,0.009031460855761246,5603.47,1,2023Q1,12,445
2023-02,FTX,Transfer,XRP,Trezor,Completed,1,32138.33,32138.33,0.015032828401475745,483.13,1,2023Q1,12,445
2023-02,Huobi,Sell,BNB,Cold Wallet,Completed,1,122727.07,122727.07,0.012658820910496763,1553.58,1,2023Q1,12,445
2023-02,Huobi,Transfer,Ethereum,Trezor,Completed,1,170.9,170.9,0.016968987712112346,2.9,1,2023Q1,12,445
2023-02,Kraken,Buy,BNB,Cold Wallet,Completed,1,787189.35,787189.35,0.03025837430346333,23819.07,1,2023Q1,12,445
2023-02,Kraken,Buy,Bitcoin,Ledger,Pending,1,1841968.65,1841968.65,0.012143914610055932,22368.71,1,2023Q1,12,445
2023-02,Kraken,Transfer,Ethereum,Ledger,Failed,1,1456260.62,1456260.62,0.010092101508588483,14696.73,1,2023Q1,12,445
2023-02,KuCoin,Buy,BNB,Ledger,Pending,1,755993.03,755993.03,0.030552318716483402,23097.34,1,2023Q1,12,445
2023-02,KuCoin,Buy,Dogecoin,Ledger,Pending,1,1435777.54,1435777.54,0.0035646678245154885,5118.07,1,2023Q1,12,445
2023-02,KuCoin,Sell,Polkadot,Hot Wallet,Failed,1,1346007.93,1346007.93,0.0010140504892864933,1364.92,1,2023Q1,12,445
2023-03,Binance,Buy,BNB,Trezor,Completed,1,159245.98,159245.98,0.02876028644490743,4579.96,1,2023Q1,433,445
2023-03,Binance,Buy,Cardano,Trezor,Failed,1,4234808.78,4234808.78,0.030344404358205755,128502.75,1,2023Q1,433,445
2023-03,Binance,Buy,Ethereum,Ledger,Pending,1,33428.92,33428.92,0.016830337324687725,562.62,1,2023Q1,433,445
2023-03,Binance,Buy,Polkadot,Cold Wallet,Pending,1,1626604.54,1626604.54,0.027621999628748114,44930.07,1,2023Q1,433,445
2023-03,Binance,Buy,Polkadot,Trezor,Failed,1,367157.74,367157.74,0.023328311150406362,8565.17,1,2023Q1,433,445
2023-03,Binance,Buy,Solana,Trezor,Pending,1,419145.03,419145.03,0.04832570721403997,20255.48,1,2023Q1,433,445
2023-03,Binance,Buy,XRP,Trezor,Pending,1,827707.21,827707.21,0.0219044847996431,18130.5,1,2023Q1,433,445
2023-03,Binance,Sell,BNB,Exchange Wallet,Failed,1,287221.92,287221.92,0.024725410929639355,7101.68,1,2023Q1,433,445
2023-03,Binance,Sell,Cardano,Exchange Wallet,Pending,1,1587710.87,1587710.87,0.04016448536376147,63769.59,1,2023Q1,433,445
2023-03,Binance,Sell,Dogecoin,Ledger,Pending,1,1485861.5,1485861.5,0.04767677202754093,70841.08,1,2023Q1,433,445
2023-03,Binance,Sell,Polkadot,Cold Wallet,Pending,1,237916.24,237916.24,0.0045989294383603245,1094.16,1,2023Q1,433,445
2023-03,Binance,Sell,Polkadot,Hot Wallet,Completed,1,40417.27,40417.27,0.0005569401396977085,22.51,1,2023Q1,433,445
2023-03,Binance,Stake,Avalanche,Cold Wallet,Failed,1,1255957.72,1255957.72,0.024702423900065683,31025.2,1,2023Q1,433,445
2023-03,Binance,Stake,Avalanche,Ledger,Pending,1,16869.57,16869.57,0.0006674740375717935,11.26,1,2023Q1,433,445
2023-03,Binance,Stake,Avalanche,Trezor,Completed,1,2615121.17,2615121.17,0.021165868195698174,55351.31,1,2023Q1,433,445
2023-03,Binance,Stake,BNB,Cold Wallet,Pending,1,1991668.48,1991668.48,0.004507406774846384,8977.26,1,2023Q1,433,445
2023-03,Binance,Stake,BNB,Trezor,Failed,1,3551413.92,3551413.92,0.011378459653049962,40409.62,1,2023Q1,433,445
2023-03,Binance,Stake,Bitcoin,Hot Wallet,Pending,1,3572790.27,3572790.27,0.04566642530629149,163156.56,1,2023Q1,433,445
2023-03,Binance,Stake,Cardano,Cold Wallet,Pending,1,158339.57,158339.57,0.03785787721919416,5994.4,1,2023Q1,433,445
2023-03,Binance,Stake,Cardano,Ledger,Failed,1,136646.32,136646.32,0.0431054418443175,5890.2,1,2023Q1,433,445
2023-03,Binance,Stake,Ethereum,Hot Wallet,Completed,1,59267.6,59267.6,0.017505686074684987,1037.52,1,2023Q1,433,445
2023-03,Binance,Stake,Ethereum,Trezor,Failed,1,233868.62,233868.62,0.006881855291231462,1609.45,1,2023Q1,433,445
2023-03,Binance,Stake,Polkadot,Cold Wallet,Failed,1,672298.86,672298.86,0.030153405287642463,20272.1,1,2023Q1,433,445
2023-03,Binance,Stake,Polkadot,Ledger,Completed,1,4114989.5,4114989.5,0.030023342708407886,123545.74,1,2023Q1,433,445
2023-03,Binance,Stake,XRP,Exchange Wallet,Pending,1,2233876.08,2233876.08,0.0098048410993326,21902.8,1,2023Q1,433,445
2023-03,Binance,Stake,XRP,Hot Wallet,Pending,2,3056010.95,1528005.475,0.011815182074590775,39069.43,2,2023Q1,433,445
2023-03,Binance,Stake,XRP,Ledger,Completed,1,31051.97,31051.97,0.038128015710436405,1183.95,1,2023Q1,433,445
2023-03,Binance,Transfer,Bitcoin,Exchange Wallet,Failed,1,3554572.28,3554572.28,0.043590248782337325,154944.69,1,2023Q1,433,445
2023-03,Binance,Transfer,Cardano,Hot Wallet,Completed,2,5134318.51,2567159.255,0.021236021697556548,116521.2,2,2023Q1,433,445
2023-03,Binance,Transfer,Cardano,Ledger,Completed,1,3838520.45,3838520.45,0.02914026679211778,111855.51,1,2023Q1,433,445
2023-03,Binance,Transfer,Litecoin,Trezor,Completed,1,2461100.82,2461100.82,0.003787195520092509,9320.67,1,2023Q1,433,445
2023-03,Binance,Transfer,Litecoin,Trezor,Failed,1,1010000.18,1010000.18,0.00923955280879257,9331.95,1,2023Q1,433,445
2023-03,Binance,Transfer,Polkadot,Exchange Wallet,Pending,1,137943.71,137943.71,0.0239495515960822,3303.69,1,2023Q1,433,445
2023-03,Binance,Transfer,Polkadot,Trezor,Failed,1,885476.31,885476.31,0.008128201645507602,7197.33,1,2023Q1,433,445
2023-03,Binance,Transfer,Solana,Trezor,Pending,1,60801.1,60801.1,0.016623218987814367,1010.71,1,2023Q1,433,445
2023-03,Binance,Transfer,XRP,Cold Wallet,Pending,1,1708003.07,1708003.07,0.0010653435183813809,1819.61,1,2023Q1,433,445
2023-03,Binance,Transfer,XRP,Hot Wallet,Failed,1,3507066.27,3507066.27,0.04268269216366989,149691.03,1,2023Q1,433,445
2023-03,Binance,Withdraw,Avalanche,Hot Wallet,Failed,1,695457.41,695457.41,0.010586370774308091,7362.37,1,2023Q1,433,445
2023-03,Binance,Withdraw,Cardano,Exchange Wallet,Completed,1,144562.08,144562.08,0.04753272780801162,6871.43,1,2023Q1,433,445
2023-03,Binance,Withdraw,Dogecoin,Exchange Wallet,Completed,1,872742.38,872742.38,0.035668062779304927,31129.03,1,2023Q1,433,445
2023-03,Binance,Withdraw,Dogecoin,Hot Wallet,Failed,1,2713395.52,2713395.52,0.030318012760631372,82264.76,1,2023Q1,433,445
2023-03,Binance,Withdraw,Ethereum,Ledger,Failed,1,2590204.45,2590204.45,0.014641145412285889,37923.56,1,2023Q1,433,445
2023-03,Binance,Withdraw,Litecoin,Exchange Wallet,Pending,1,3988769.11,3988769.11,0.023477102188048184,93644.74,1,2023Q1,433,445
2023-03,Binance,Withdraw,Litecoin,Trezor,Failed,1,1003049.03,1003049.03,0.046362349804575355,46503.71,1,2023Q1,433,445
2023-03,Binance,Withdraw,XRP,Cold Wallet,Failed,1,1612633.05,1612633.05,0.04002888939923438,64551.91,1,2023Q1,433,445
2023-03,Coinbase,Buy,Avalanche,Trezor,Failed,1,16523.55,16523.55,0.04023348493513803,664.8,1,2023Q1,433,445
2023-03,Coinbase,Buy,BNB,Trezor,Failed,1,146259.01,146259.01,0.026644033759014227,3896.93,1,2023Q1,433,445
2023-03,Coinbase,Buy,Bitcoin,Ledger,Completed,1,349916.98,349916.98,0.006500913445240641,2274.78,1,2023Q1,433,445
2023-03,Coinbase,Buy,Cardano,Exchange Wallet,Pending,1,25052.08,25052.08,0.039891697615527334,999.37,1,2023Q1,433,445
2023-03,Coinbase,Buy,Dogecoin,Cold Wallet,Pending,1,1746434.52,1746434.52,0.028177632448538638,49210.39,1,2023Q1,433,445
2023-03,Coinbase,Buy,Dogecoin,Exchange Wallet,Failed,1,110563.71,110563.71,0.023311265513792905,2577.38,1,2023Q1,433,445
2023-03,Coinbase,Buy,Litecoin,Hot Wallet,Completed,1,3587437.25,3587437.25,0.012773725867957691,45824.94,1,2023Q1,433,445
2023-03,Coinbase,Buy,Litecoin,Trezor,Completed,1,2944475.29,2944475.29,0.004682097366149063,13786.32,1,2023Q1,433,445
2023-03,Coinbase,Buy,Polkadot,Hot Wallet,Pending,1,761509.07,761509.07,0.04737269905399814,36074.74,1,2023Q1,433,445
2023-03,Coinbase,Buy,Polkadot,Trezor,Completed,1,1092294.12,1092294.12,0.003699699491195649,4041.16,1,2023Q1,433,445
2023-03,Coinbase,Buy,Solana,Cold Wallet,Completed,1,1428917.44,1428917.44,0.010191267593458724,14562.48,1,2023Q1,433,445
2023-03,Coinbase,Buy,XRP,Trezor,Completed,1,1767426.02,1767426.02,0.023964776754842616,42355.97,1,2023Q1,433,445
2023-03,Coinbase,Buy,XRP,Trezor,Pending,1,1224945.02,1224945.02,0.03141823459145946,38485.61,1,2023Q1,433,445
2023-03,Coinbase,Sell,Avalanche,Exchange Wallet,Completed,1,547289.01,547289.01,0.008218619262974054,4497.96,1,2023Q1,433,445
2023-03,Coinbase,Sell,Bitcoin,Cold Wallet,Failed,1,2257905.64,2257905.64,0.0028094841022674446,6343.55,1,2023Q1,433,445
2023-03,Coinbase,Sell,Cardano,Cold Wallet,Completed,1,2052494.37,2052494.37,0.0032952977113403724,6763.58,1,2023Q1,433,445
2023-03,Coinbase,Sell,Dogecoin,Ledger,Failed,1,2034435.07,2034435.07,0.039185974119095385,79721.32,1,2023Q1,433,445
2023-03,Coinbase,Sell,Ethereum,Hot Wallet,Pending,1,925245.31,925245.31,0.02059666749351045,19056.97,1,2023Q1,433,445
2023-03,Coinbase,Sell,Ethereum,Ledger,Completed,2,1486903.5299999998,743451.7649999999,0.04024155908246119,60333.149999999994,2,2023Q1,433,445
2023-03,Coinbase,Sell,Litecoin,Ledger,Failed,1,291419.6,291419.6,0.011670285732325486,3400.95,1,2023Q1,433,445
2023-03,Coinbase,Sell,Polkadot,Trezor,Completed,1,3119490.59,3119490.59,0.013444653474655939,41940.47,1,2023Q1,433,445
2023-03,Coinbase,Sell,Polkadot,Trezor,Pending,1,1672150.31,1672150.31,0.037678903399539485,63004.79,1,2023Q1,433,445
2023-03,Coinbase,Sell,Solana,Cold Wallet,Completed,1,454858.55,454858.55,0.00423584430808215,1926.71,1,2023Q1,433,445
2023-03,Coinbase,Sell,XRP,Cold Wallet,Failed,1,4344607.24,4344607.24,0.015542760546520656,67527.19,1,2023Q1,433,445
2023-03,Coinbase,Sell,XRP,Exchange Wallet,Failed,1,410529.05,410529.05,0.01079144094674908,4430.2,1,2023Q1,433,445
2023-03,Coinbase,Sell,XRP,Hot Wallet,Completed,1,2485358.06,2485358.06,0.013683147127701993,34007.52,1,2023Q1,433,445
2023-03,Coinbase,Sell,XRP,Trezor,Pending,1,524651.19,524651.19,0.019744508727789222,10358.98,1,2023Q1,433,445
2023-03,Coinbase,Stake,Bitcoin,Cold Wallet,Failed,1,2834337.05,2834337.05,0.04138069253266827,117286.83,1,2023Q1,433,445
2023-03,Coinbase,Stake,Cardano,Exchange Wallet,Pending,1,161020.73,161020.73,0.03855615360829627,6208.34,1,2023Q1,433,445
2023-03,Coinbase,Stake,Dogecoin,Cold Wallet,Pending,1,79454.83,79454.83,0.029670820515253757,2357.49,1,2023Q1,433,445
2023-03,Coinbase,Stake,Dogecoin,Exchange Wallet,Failed,1,550627.45,550627.45,0.01543139558334769,8496.95,1,2023Q1,433,445
2023-03,Coinbase,Stake,Dogecoin,Hot Wallet,Pending,1,363815.18,363815.18,0.03069415630210922,11167.0,1,2023Q1,433,445
2023-03,Coinbase,Stake,Litecoin,Trezor,Pending,1,4665696.6,4665696.6,0.021239910884904088,99098.98,1,2023Q1,433,445
2023-03,Coinbase,Stake,Polkadot,Trezor,Failed,1,376021.07,376021.07,0.008283232639064613,3114.67,1,2023Q1,433,445
2023-03,Coinbase,Stake,Solana,Ledger,Completed,1,477650.66,477650.66,0.024160523508959458,11540.29,1,2023Q1,433,445
2023-03,Coinbase,Stake,XRP,Hot Wallet,Failed,1,633654.03,633654.03,0.036475961495897054,23113.14,1,2023Q1,433,445
2023-03,Coinbase,Stake,XRP,Ledger,Failed,1,550324.17,550324.17,0.030514887252725973,16793.08,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Avalanche,Exchange Wallet,Completed,1,2131003.06,2131003.06,0.02030385634453289,43267.58,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Avalanche,Hot Wallet,Pending,1,883035.03,883035.03,0.0034119144741064237,3012.84,1,2023Q1,433,445
2023-03,Coinbase,Transfer,BNB,Cold Wallet,Completed,1,999832.18,999832.18,0.005840940226588826,5839.96,1,2023Q1,433,445
2023-03,Coinbase,Transfer,BNB,Cold Wallet,Pending,1,1806783.95,1806783.95,0.007827250181185194,14142.15,1,2023Q1,433,445
2023-03,Coinbase,Transfer,BNB,Trezor,Pending,1,927371.45,927371.45,0.02530918975346934,23471.02,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Bitcoin,Cold Wallet,Failed,1,911978.9,911978.9,0.01073272638215643,9788.02,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Bitcoin,Trezor,Completed,1,1722252.2,1722252.2,0.005806861503791372,10000.88,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Cardano,Cold Wallet,Completed,1,4432322.41,4432322.41,0.024565954352585104,108884.23,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Cardano,Cold Wallet,Failed,1,5219402.11,5219402.11,0.005237785750904714,27338.11,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Cardano,Hot Wallet,Completed,1,47902.33,47902.33,0.037020746172472196,1773.38,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Cardano,Trezor,Failed,1,4896065.54,4896065.54,0.03601078019882879,176311.14,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Dogecoin,Cold Wallet,Completed,1,1460886.22,1460886.22,0.015379691924262247,22467.98,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Dogecoin,Trezor,Pending,1,2355730.47,2355730.47,0.0065377810391016415,15401.25,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Ethereum,Exchange Wallet,Failed,2,2473572.19,1236786.095,0.022397472213519346,67490.72,2,2023Q1,433,445
2023-03,Coinbase,Transfer,Litecoin,Exchange Wallet,Failed,1,460146.68,460146.68,0.028639824153463413,13178.52,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Polkadot,Exchange Wallet,Pending,2,2396598.9299999997,1198299.4649999999,0.0306220591305127,71723.07,2,2023Q1,433,445
2023-03,Coinbase,Transfer,Polkadot,Trezor,Pending,2,3019867.74,1509933.87,0.02098914702346387,80614.4,2,2023Q1,433,445
2023-03,Coinbase,Transfer,Solana,Cold Wallet,Completed,1,1092116.67,1092116.67,0.03605147790665992,39372.42,1,2023Q1,433,445
2023-03,Coinbase,Transfer,Solana,Cold Wallet,Failed,1,197601.09,197601.09,0.036160832918482384,7145.42,1,2023Q1,433,445
